com,com_label,diocese,diocese_label,nation,nation_label,level,statistic,category,units,count,proportion
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,nation,age,age_25_29_years,persons,591616,0.057448051023676
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,nation,age,age_2_years,persons,118420,0.011499009834459704
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,nation,age,age_30_34_years,persons,664446,0.06452010714801057
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,nation,age,age_35_39_years,persons,765738,0.07435592630146516
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,nation,age,age_3_years,persons,120968,0.011746429840017914
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,nation,age,age_40_44_years,persons,823048,0.07992093435426777
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,nation,age,age_45_49_years,persons,747008,0.07253717563266403
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,nation,age,age_4_years,persons,123010,0.011944715417470766
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,nation,age,age_50_54_years,persons,680006,0.06603103936405678
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,nation,age,age_55_59_years,persons,614330,0.05965366248609719
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,nation,age,age_5_years,persons,128052,0.01243431183349294
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,nation,age,age_60_64_years,persons,545340,0.05295448423513135
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,nation,age,age_65_69_years,persons,476288,0.046249285560168406
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,nation,age,age_6_years,persons,133428,0.012956340856209165
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,nation,age,age_70_74_years,persons,405768,0.039401538781532214
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,nation,age,age_75_79_years,persons,308520,0.029958406638469073
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,nation,age,age_7_years,persons,138002,0.013400492781414523
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,nation,age,age_80_84_years,persons,193172,0.018757699102704355
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,nation,age,age_85_years_and_over,persons,168882,0.016399052346421413
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,nation,age,age_8_years,persons,141466,0.013736859696349234
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,nation,age,age_9_years,persons,144392,0.01402098486756718
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,centre-of-mission,ethnicity,asian_or_asian_irish,persons,170.3514789,0.01914332862637629
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,centre-of-mission,ethnicity,black_or_black_irish,persons,26.9860323,0.003032568240538505
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,centre-of-mission,ethnicity,not_stated,persons,226.8697708,0.025494598613755082
ballina,Ballina,tuam-limerick-killaloe,"Tuam, Limerick & Killaloe",republic-of-ireland,Republic of Ireland,centre-of-mission,ethnicity,other,persons,131.0883549,0.014731116355114572
